user_id	invite_date	sample_group
22890795	2014-10-20	control
22891039	2014-10-20	control
22891690	2014-10-20	control
22892606	2014-10-20	control
22892705	2014-10-20	invited
22892807	2014-10-20	control
22893113	2014-10-20	control
22893263	2014-10-20	invited
22895159	2014-10-20	invited
22895278	2014-10-20	control
22895570	2014-10-20	invited
22895602	2014-10-20	invited
22895911	2014-10-20	control
22896534	2014-10-20	invited
22897567	2014-10-20	invited
22897845	2014-10-20	invited
22897859	2014-10-20	invited
22897864	2014-10-20	control
22897904	2014-10-20	control
22897978	2014-10-20	invited
22898010	2014-10-20	invited
22898041	2014-10-20	invited
22898201	2014-10-20	invited
22898209	2014-10-20	invited
22898258	2014-10-20	invited
22898260	2014-10-20	invited
22898556	2014-10-20	control
22898634	2014-10-20	control
22898737	2014-10-20	invited
22898941	2014-10-20	invited
22899003	2014-10-20	invited
22899086	2014-10-20	invited
22899281	2014-10-20	invited
22899379	2014-10-20	control
22899538	2014-10-20	control
22899569	2014-10-20	invited
22899595	2014-10-20	invited
22899701	2014-10-20	control
22899902	2014-10-20	control
22899956	2014-10-20	invited
22899994	2014-10-20	invited
22900085	2014-10-20	invited
22900109	2014-10-20	control
22900115	2014-10-20	invited
22900228	2014-10-20	invited
22900379	2014-10-20	invited
22900506	2014-10-20	invited
22900639	2014-10-20	invited
22900642	2014-10-20	invited
22900648	2014-10-20	invited
22900649	2014-10-20	control
22900656	2014-10-20	invited
22900659	2014-10-20	control
22900668	2014-10-20	invited
22900702	2014-10-20	invited
22900703	2014-10-20	invited
22900780	2014-10-20	invited
22900893	2014-10-20	invited
22901039	2014-10-20	invited
22901041	2014-10-20	invited
22901044	2014-10-20	invited
22901115	2014-10-20	invited
22901166	2014-10-20	invited
22901241	2014-10-20	invited
22901261	2014-10-20	invited
22901354	2014-10-20	invited
22901465	2014-10-20	invited
22901476	2014-10-20	control
22901503	2014-10-20	invited
22901508	2014-10-20	invited
22901512	2014-10-20	invited
22901526	2014-10-20	control
22901555	2014-10-20	control
22901622	2014-10-20	control
22901668	2014-10-20	invited
22901669	2014-10-20	control
